2.573443651199340820e-01,2.430317997932434082e-01,2.528629302978515625e-01,2.467609196901321411e-01
2.562844753265380859e-01,2.424861639738082886e-01,2.539398670196533203e-01,2.472895085811614990e-01
2.596960663795471191e-01,2.415072470903396606e-01,2.500014603137969971e-01,2.487952411174774170e-01
2.573972344398498535e-01,2.459061443805694580e-01,2.488699406385421753e-01,2.478267252445220947e-01
2.591346502304077148e-01,2.390747815370559692e-01,2.592413723468780518e-01,2.425492107868194580e-01
2.657941281795501709e-01,2.409333586692810059e-01,2.476395517587661743e-01,2.456329911947250366e-01
2.588807046413421631e-01,2.395822554826736450e-01,2.488759756088256836e-01,2.526610493659973145e-01
2.561805546283721924e-01,2.436655163764953613e-01,2.498175352811813354e-01,2.503363490104675293e-01
2.567311525344848633e-01,2.458154112100601196e-01,2.505994439125061035e-01,2.468539774417877197e-01
2.557128071784973145e-01,2.431693077087402344e-01,2.517404556274414062e-01,2.493774294853210449e-01
2.567016184329986572e-01,2.417876422405242920e-01,2.500261664390563965e-01,2.514845728874206543e-01
2.616494297981262207e-01,2.369888424873352051e-01,2.466834187507629395e-01,2.546782791614532471e-01
2.538369297981262207e-01,2.461663186550140381e-01,2.486663460731506348e-01,2.513303756713867188e-01
2.579870820045471191e-01,2.414202094078063965e-01,2.520949840545654297e-01,2.484976798295974731e-01
2.549905180931091309e-01,2.461704611778259277e-01,2.546019256114959717e-01,2.442371249198913574e-01
2.593259811401367188e-01,2.416258901357650757e-01,2.535741329193115234e-01,2.454740107059478760e-01
2.592085301876068115e-01,2.374584227800369263e-01,2.523805201053619385e-01,2.509526014328002930e-01
2.603939473628997803e-01,2.395296096801757812e-01,2.451398968696594238e-01,2.549365162849426270e-01
2.561178803443908691e-01,2.417387813329696655e-01,2.544438540935516357e-01,2.476995438337326050e-01
2.552503347396850586e-01,2.424192428588867188e-01,2.514871954917907715e-01,2.508431971073150635e-01
2.540854811668395996e-01,2.396701127290725708e-01,2.518949806690216064e-01,2.543494403362274170e-01
2.645047903060913086e-01,2.344825118780136108e-01,2.521755695343017578e-01,2.488370835781097412e-01
2.572528421878814697e-01,2.399062514305114746e-01,2.519223392009735107e-01,2.509186267852783203e-01
2.550690770149230957e-01,2.454200237989425659e-01,2.519923746585845947e-01,2.475185394287109375e-01
2.594334483146667480e-01,2.378428131341934204e-01,2.512800097465515137e-01,2.514436841011047363e-01
2.586864531040191650e-01,2.396650165319442749e-01,2.532824873924255371e-01,2.483660429716110229e-01
2.570475041866302490e-01,2.421242147684097290e-01,2.530280649662017822e-01,2.478002160787582397e-01
2.539498507976531982e-01,2.454289495944976807e-01,2.521517276763916016e-01,2.484694868326187134e-01
2.582584917545318604e-01,2.432785928249359131e-01,2.529167234897613525e-01,2.455462068319320679e-01
2.584663033485412598e-01,2.423965483903884888e-01,2.522275149822235107e-01,2.469096183776855469e-01
